Place of interest,Station location,BiciMAD station,Station location,Indications
Instalación Deportiva Municipal Básica Almudena,CALLE NICOLAS SALMERON 8,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,"https://www.google.com/maps/dir/40.41909002674735,-3.6296630675589197/40.429706,-3.640994/@40.41909002674735,-3.6296630675589197,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6296630675589197!2d40.41909002674735!1m0!3e2"
Instalación Deportiva Municipal Básica Ambulatorio (El Paraiso),CALLE AJOFRIN s/n,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,"https://www.google.com/maps/dir/40.425607242600144,-3.6256685841403025/40.429706,-3.640994/@40.425607242600144,-3.6256685841403025,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6256685841403025!2d40.425607242600144!1m0!3e2"
Instalación Deportiva Municipal Básica Americio,CALLE AMERICIO s/n,Embajadores 191,Calle Sodio nº 1B,"https://www.google.com/maps/dir/40.356238545684384,-3.6827549805431934/40.389258643579105,-3.6903589643353483/@40.356238545684384,-3.6827549805431934,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6827549805431934!2d40.356238545684384!1m0!3e2"
Instalación Deportiva Municipal Básica Ana Tutor,AVENIDA CARDENAL HERRERA ORIA 216,Pedro Rico,Calle Pedro Rico nº 4,"https://www.google.com/maps/dir/40.49087287315406,-3.6865580970863947/40.481086,-3.688463/@40.49087287315406,-3.6865580970863947,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6865580970863947!2d40.49087287315406!1m0!3e2"
Instalación Deportiva Municipal Básica Andévalo,CALLE ANDEVALO 6 Aparcamiento,Concordia,Calle Arroyo del Olivar nº 6,"https://www.google.com/maps/dir/40.374404666864585,-3.668237382541929/40.39382977920336,-3.6659362429356372/@40.374404666864585,-3.668237382541929,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.668237382541929!2d40.374404666864585!1m0!3e2"
Instalación Deportiva Municipal Básica Anfevi,CALLE HACIENDA DE PAVONES 127 Posterior,Pavones,Calle Hacienda de Pavones nº 342,"https://www.google.com/maps/dir/40.403438145048085,-3.6400762544982834/40.400368,-3.634587/@40.403438145048085,-3.6400762544982834,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6400762544982834!2d40.403438145048085!1m0!3e2"
Instalación Deportiva Municipal Básica Aniceto Marinas,CALLE ANICETO MARINAS 106,INEF,Avenida Juan de Herrera frente a la calle Paul Guinard,"https://www.google.com/maps/dir/40.43121588404326,-3.7336179867525616/40.43896,-3.72997/@40.43121588404326,-3.7336179867525616,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.7336179867525616!2d40.43121588404326!1m0!3e2"
Instalación Deportiva Municipal Básica Antonio Machado,CALLE ANTONIO MACHADO 14 Posterior,Francos Rodríguez,Calle Francos Rodríguez nº 62,"https://www.google.com/maps/dir/40.46606393146319,-3.71907563377333/40.45673408797698,-3.708002730875242/@40.46606393146319,-3.71907563377333,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.71907563377333!2d40.46606393146319!1m0!3e2"
Instalación Deportiva Municipal Básica Antonio Pirala,CALLE ANTONIO PIRALA s/n,Puente de Ventas,Avenida de Daroca nº 2,"https://www.google.com/maps/dir/40.43075144945157,-3.6596933792999025/40.4311944,-3.6590555/@40.43075144945157,-3.6596933792999025,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.6596933792999025!2d40.43075144945157!1m0!3e2"
Instalación Deportiva Municipal Básica Arcaute,AVENIDA INVIERNO 1,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,"https://www.google.com/maps/dir/40.443627672731296,-3.576711464888384/40.429706,-3.640994/@40.443627672731296,-3.576711464888384,17z/data=!3m1!4b1!4m7!4m6!1m3!2m2!1d-3.576711464888384!2d40.443627672731296!1m0!3e2"
