pk_ins,Place of interest,ins_latitude,ins_longitude,bicimad_latitude,bicimad_longitude,distance,Station location,Station ID,BiciMAD station
4557652,Instalación Deportiva Municipal Básica Telémaco,40.44742577488327,-3.63909008577834,40.44370542379883,-3.648958444298144,1176.0971171145427,Calle Carlota O'Neill nº 32,238.0,Carlota O’Neill
4659289,Instalación Deportiva Municipal Básica Tercio Terol,40.39473217663556,-3.728885688549131,40.398247,-3.716591,1426.2511429488434,Glorieta Marqués de Vadillo nº 9,220.0,Marqués de Vadillo
4548903,Instalación Deportiva Municipal Básica Torrelaguna (La Colina),40.453221291412646,-3.6610334457155886,40.44315,-3.65741,1191.7632369628009,Calle Condesa de Venadito nº 2,222.0,Condesa de Venadito
6210334,Instalación Deportiva Municipal Básica Torrespaña - Fuente del Berro,40.42129422167342,-3.6608740643380497,40.4250833,-3.6615277,428.05352788950637,Calle Sancho Dávila esquina Paseo Marqués de Zafra,193.0,Quinta Fuente del Berro
4547407,Instalación Deportiva Municipal Básica Tres Olivos I Pádel,40.49896370465188,-3.6908807947318554,40.481086,-3.688463,2008.3293818675875,Calle Pedro Rico nº 4,225.0,Pedro Rico
4547468,Instalación Deportiva Municipal Básica Tres Olivos II,40.50049078129212,-3.6934087819699295,40.481086,-3.688463,2229.4714700901727,Calle Pedro Rico nº 4,225.0,Pedro Rico
4669172,Instalación Deportiva Municipal Básica Tribaldos,40.46705463815002,-3.639405862507256,40.44370542379883,-3.648958444298144,2809.1529685156356,Calle Carlota O'Neill nº 32,238.0,Carlota O’Neill
4541945,Instalación Deportiva Municipal Básica Tribaldos II,40.467706247348325,-3.6356019707978606,40.44370542379883,-3.648958444298144,3059.074553972307,Calle Carlota O'Neill nº 32,238.0,Carlota O’Neill
4541972,Instalación Deportiva Municipal Básica Trinquete,40.472578003657866,-3.658209520963392,40.46041,-3.67712,2506.879065467099,Avenida Pío XII nº 3,262.0,Pío XII
4642633,Instalación Deportiva Municipal Básica UVA Pan Bendito,40.37554043596684,-3.734957451227099,40.398247,-3.716591,3253.7775120606907,Glorieta Marqués de Vadillo nº 9,220.0,Marqués de Vadillo
4539815,Instalación Deportiva Municipal Básica UVA de Vallecas,40.38055163644936,-3.6158152393748777,40.400368,-3.634587,3041.450827901434,Calle Hacienda de Pavones nº 342,229.0,Pavones
6309976,Instalación Deportiva Municipal Básica Urbanización Arroyo del Santo,40.45407070747356,-3.617972617050469,40.44370542379883,-3.648958444298144,3643.791836463202,Calle Carlota O'Neill nº 32,238.0,Carlota O’Neill
